Brand,Model,Year,engine model,Engine,Max Power,Seats
Land,Rover Range Rover Evoque SE,2016,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Ford,E350 Super Duty XLT,2012,255.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,,,
Mercedes-Benz,SL-Class SL500 Roadster,2004,302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
Jeep,Compass Trailhawk,2018,180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,S-Class S 560 4MATIC,2018,4.0 Liter,,,
Mercedes-Benz,G-Class G 550 4MATIC,2021,416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,,,
Tesla,Model X P90D,2016,691.0HP Electric Motor Electric Fuel System,,,
Lexus,IS-F Base,2010,416.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
BMW,335 i,2010,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
Audi,RS 7 4.0T,2022,591.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,,,
Buick,Lucerne CXL,2006,275.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,,,
Lincoln,MKX Reserve,2016,335.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,,,
Nissan,Armada Platinum,2018,390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,,,
Porsche,911 Carrera,2020,3.0 Liter,,,
BMW,435 Gran Coupe i,2015,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
Jeep,Wagoneer Series III,2022,5.7L V8 16V MPFI OHV,,,
Cadillac,ATS 2.5L,2013,202.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,,,
Ford,Transit Connect XLT,2010,136.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Kia,EV6 GT-Line,2022,320.0HP Electric Motor Electric Fuel System,,,
Audi,S5 3.0T Premium Plus,2014,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Toyota,Tundra SR,2018,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,,,
Jeep,Wrangler Unlimited Freedom Edition,2013,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
Maserati,Quattroporte Base,2006,394.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,CLS-Class CLS500,2006,302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
GMC,Sierra 3500 SLE,2002,300.0HP 6.6L 8 Cylinder Engine Diesel Fuel,,,
Nissan,Frontier SL,2011,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,,,
BMW,M5 Base,2023,4.4L V8 32V GDI DOHC Twin Turbo,,,
Porsche,911 R,2016,4.0L H6 24V GDI DOHC,,,
Land,Rover Defender X-Dynamic SE,2023,3.0 Liter,,,
Ford,F-150 XL,2016,385.0HP 5.0L 8 Cylinder Engine Flex Fuel Capability,,,
BMW,M8 Competition,2022,4.4 Liter Twin Turbo,,,
Porsche,911 Carrera S,2010,385.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,,,
Volvo,XC70 3.2,2008,235.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,,,
Chrysler,300 Touring,2021,3.6 Liter,,,
Honda,Insight EX,2020,151.0HP 1.5L 4 Cylinder Engine Gas/Electric Hybrid,,,
Porsche,Cayman S,2006,3.4L H6 24V MPFI DOHC,,,
Tesla,Model Y Performance,2022,455.0HP Electric Motor Electric Fuel System,,,
BMW,M5 Competition,2020,617.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,,,
Audi,S4 4.2 quattro,2004,340.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,,,
Ford,F-250 Platinum,2021,6.7L V8 32V DDI OHV Turbo Diesel,,,
Kia,Seltos S,2023,146.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
RAM,ProMaster 2500 High Roof,2019,280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
BMW,M760 M760i xDrive,2020,6.6 Liter Twin Turbo,,,
Mercedes-Benz,E-Class E 400,2015,329.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Cadillac,XTS Luxury,2016,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
INFINITI,Q50 Premium,2014,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,,,
Volkswagen,Touareg V6 Executive,2017,280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Suburban 1500 LTZ,2011,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,,,
Toyota,Tundra SR5,2021,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,,,
BMW,X1 sDrive28i,2022,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,GL-Class GL 550 4MATIC,2016,429.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,,,
Cadillac,XTS Luxury,2019,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
Jaguar,XJ8 Base,2004,294.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Camaro ZL1,2020,650.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,Sprinter 2500,2012,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,,,
Mercedes-Benz,C-Class C 300 4MATIC,2022,2.0L I4 16V GDI DOHC Turbo,,,
Dodge,Dakota SLT,2003,230.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,,,
Audi,A5 2.0T Premium Plus,2012,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Audi,A5 2.0T Premium,2018,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Audi,S5 3.0 Premium Plus,2012,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Porsche,Panamera GTS,2015,440.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,AMG GT C,2020,550.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Camaro 2SS,2023,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Audi,Q7 Premium Plus,2023,3.0 Liter TFSI,,,
Maserati,GranTurismo MC,2018,454.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,,,
GMC,Sierra 2500 AT4,2022,6.6L V8 16V GDI OHV,,,
Cadillac,XT6 Sport AWD,2020,3.6L V6 24V GDI DOHC,,,
Jeep,Grand Cherokee L Laredo,2022,3.6L V6 24V MPFI DOHC,,,
Chevrolet,Avalanche 1500 LT,2012,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,,,
BMW,M5 Base,2018,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,,,
Nissan,Titan SE,2009,317.0HP 5.6L 8 Cylinder Engine Flex Fuel Capability,,,
Dodge,Ram 1500 SRT-10 Quad Cab,2005,500.0HP 8.3L 10 Cylinder Engine Gasoline Fuel,,,
GMC,Sierra 1500 SLT,2013,315.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,,,
Lexus,RX 350 F Sport,2017,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,GL-Class GL 450 4MATIC,2012,335.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,,,
INFINITI,QX80 Luxe,2022,5.6L V8 32V GDI DOHC,,,
Mercedes-Benz,AMG C 63 S,2021,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,,,
BMW,528 i xDrive,2016,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Porsche,911 Carrera,2014,350.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,,,
Porsche,Boxster S,2005,280.0HP 3.2L Flat 6 Cylinder Engine Gasoline Fuel,,,
BMW,X6 M Base,2021,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,,,
Ford,Mustang Premium,2007,210.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,,,
Rivian,R1S Launch Edition,2023,835.0HP Electric Motor Electric Fuel System,,,
Volvo,XC90 Recharge Plug-In Hybrid T8 Inscription 7 Passenger,2022,2.0L I4 16V GDI DOHC Hybrid,,,
BMW,528 i xDrive,2016,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Cadillac,Escalade ESV Platinum,2016,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Corvette Base,2004,350.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,,,
Audi,A5 2.0T Premium,2013,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Audi,TT 2.0T Premium,2012,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Buick,LaCrosse CX,2007,200.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Camaro 2SS,2017,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Tesla,Model Y Long Range,2023,425.0HP Electric Motor Electric Fuel System,,,
BMW,M3 Base,2015,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
Kia,Optima LX,2011,200.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,,,
Toyota,Supra 3.0 Premium,2022,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
Lincoln,Nautilus Reserve,2021,2.0L I4 16V GDI DOHC Turbo,,,
Nissan,Pathfinder SL,2015,260.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
BMW,X5 xDrive50i,2015,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,,,
Mazda,MazdaSpeed3 Grand Touring,2008,263.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,,,
GMC,Yukon XL SLT,2017,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,,,
Toyota,bZ4X Limited,2023,Electric,,,
RAM,ProMaster 2500 High Roof,2018,280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
RAM,1500 Classic SLT,2021,3.6L V6 24V MPFI DOHC,,,
Lexus,GS 350 Base,2014,3.5 Liter,,,
Hyundai,Tucson Limited,2016,175.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,,,
Chevrolet,SSR Base,2003,300.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,,,
Maserati,GranTurismo Base,2013,440.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,,,
Tesla,Model X Performance,2020,Electric,,,
BMW,M2 Base,2018,365.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
Tesla,Model Y Long Range,2021,425.0HP Electric Motor Electric Fuel System,,,
Subaru,Outback 2.5i Limited,2015,175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,,,
Buick,Roadmaster Estate,1996,260.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,,,
Land,Rover Range Rover 5.0L Supercharged,2017,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
Ford,Expedition Max XLT,2021,3.5L V6 24V PDI DOHC Twin Turbo,,,
Nissan,Leaf SL,2012,107.0HP Electric Motor Electric Fuel System,,,
Toyota,Tacoma TRD Pro,2019,3.5L V6 24V PDI DOHC,,,
Mercedes-Benz,AMG GT 63 S 4-Door,2020,630.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,,,
BMW,230 i,2019,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Lexus,ES 350 Base,2007,272.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Porsche,911 Carrera S Cabriolet,2007,3.8L H6 24V MPFI DOHC,,,
Porsche,Taycan Turbo,2020,Dual AC Electric Motors,,,
Maserati,Levante Modena,2023,3.0L V6 24V GDI DOHC Twin Turbo,,,
Dodge,Challenger SRT Hellcat,2020,717.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Mazda,Mazda6 Touring,2021,187.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,,,
Audi,S4 3.0T Premium,2019,349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Ford,Mustang GT Premium,2016,435.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
Tesla,Model Y Long Range,2022,425.0HP Electric Motor Electric Fuel System,,,
Audi,TTS 2.0T Premium Plus,2011,265.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
BMW,M2 Competition,2020,405.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
Audi,Q4 e-tron Sportback Premium,2023,295.0HP Electric Motor Electric Fuel System,,,
BMW,740 i,2016,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,AMG GLE 43 Coupe 4MATIC,2018,385.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,S-Class S 550 4MATIC,2015,449.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,,,
Honda,S2000 Base,2002,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Corvette Base,2000,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Colorado Z71,2020,3.6L V6 24V GDI DOHC,,,
Mercedes-Benz,S-Class S 63 AMG,2013,536.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,,,
Bentley,Continental GTC Base,2013,616.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,,,
GMC,Sierra 2500 SLE H/D Extended Cab,2002,340.0HP 8.1L 8 Cylinder Engine Gasoline Fuel,,,
Audi,SQ5 3.0T Premium,2020,349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Toyota,Corolla iM Base,2017,137.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,,,
GMC,Yukon XL SLT,2017,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,,,
Toyota,Tundra 1794,2020,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,,,
Subaru,WRX Premium,2017,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Subaru,WRX Base,2015,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
INFINITI,Q50 Premium,2014,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Suburban Premier,2017,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,,,
Toyota,Sequoia Limited,2006,273.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,,,
Porsche,Cayenne GTS,2009,405.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,,,
Kia,Telluride S,2023,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,AMG E 63 S 4MATIC,2019,603.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,,,
BMW,Z4 sDrive35is,2014,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
Subaru,Impreza 2.0i Sport,2017,152.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Dodge,Dart SE,2015,160.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Land,Rover Range Rover P525 Westminster,2021,5.0L V8 32V GDI DOHC Supercharged,,,
Nissan,370Z Base,2013,332.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,,,
Cadillac,Escalade ESV Luxury,2020,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,E-Class E 350,2012,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Kia,Optima Hybrid EX,2012,206.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,,,
Chevrolet,Silverado 3500 LTZ,2022,445.0HP 6.6L 8 Cylinder Engine Diesel Fuel,,,
Volkswagen,Golf GTI 2.0T SE 4-Door,2018,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Dodge,Ram 1500 SRT-10,2004,500.0HP 8.3L 10 Cylinder Engine Gasoline Fuel,,,
Scion,tC Anniversary Edition,2014,179.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,,,
Land,Rover Range Rover 5.0L Supercharged Autobiography,2016,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
Lexus,LS 500 Base,2018,"3.5L V-6 port/direct injection, DOHC, VVT-iE/VVT-i variable valv",,,
Chevrolet,Suburban 1500 LT,2015,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,,,
Maserati,GranTurismo Base,2015,444.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,,,
Porsche,911 Carrera Turbo,2003,415.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,,,
Hyundai,Sonata Hybrid Base,2012,206.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,,,
Cadillac,CTS Luxury,2012,270.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
BMW,323 Ci,2000,170.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,,,
Tesla,Model 3 Standard Range Plus,2019,Electric Motor Electric Fuel System,,,
Nissan,370Z Touring,2012,332.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,GLS 450 Base 4MATIC,2018,3.0 Liter DOHC Twin Turbo,,,
Ford,Mustang GT Premium,2021,460.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
Audi,Q5 2.0T Premium,2012,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
RAM,2500 Big Horn,2013,350.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,,,
Dodge,Ram 1500 ST,2011,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,C-Class C 300 4MATIC Sport,2013,248.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Dodge,Challenger SRT Hellcat,2016,707.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Land,Rover Range Rover 3.0L Supercharged HSE,2018,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
BMW,M4 Base,2018,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,S-Class S 560 4MATIC,2018,463.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,,,
Land,Rover Range Rover 5.0L V8 Supercharged,2019,"5L V-8 gasoline direct injection, DOHC, variable valve control,",,,
Chevrolet,Express 3500 Base,2009,319.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,,,
Toyota,4Runner TRD Pro,2016,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,,,
Mazda,MX-5 Miata Grand Touring,2012,167.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Volkswagen,Touareg VR6 Lux,2012,280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
Jaguar,XJ Base,2013,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Camaro 2SS,2010,426.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
INFINITI,G37 x,2012,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,,,
BMW,X6 xDrive50i,2019,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Camaro LT1,2022,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Porsche,Taycan Base,2021,Electric,,,
Mercedes-Benz,S-Class S 63 AMG,2015,577.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,,,
Cadillac,Escalade ESV Premium Luxury,2018,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Toyota,Camry Hybrid XLE,2014,200.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,,,
Audi,A6 3.0T Prestige,2015,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
BMW,X5 M Base,2012,555.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,,,
Jaguar,F-PACE SVR,2020,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
BMW,740 i,2017,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
BMW,M340 i xDrive,2021,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,,,
Jeep,Wrangler Unlimited Sport,2016,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
RAM,2500 Tradesman,2018,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,,,
Ford,Mustang V6,2016,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,,,
BMW,328 i,1997,190.0HP 2.8L Straight 6 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,GL-Class GL 450,2011,335.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,,,
Rivian,R1S Adventure Package,2023,835.0HP Electric Motor Electric Fuel System,,,
Tesla,Model Y Long Range,2023,425.0HP Electric Motor Electric Fuel System,,,
Mercedes-Benz,E-Class E 350,2022,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
BMW,X7 xDrive40i,2023,375.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,,,
Chevrolet,Trailblazer RS,2023,155.0HP 1.3L 3 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Suburban 1500 LTZ,2015,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Suburban Premier,2021,5.3L V8 16V GDI OHV,,,
Jeep,Gladiator Overland,2020,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
GMC,Yukon XL AT4,2023,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,,,
Mazda,Mazda6 Grand Touring Reserve,2019,227.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,,,
Alfa,Romeo Giulia Ti,2021,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,CLA-Class CLA 250,2016,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
BMW,330 330i xDrive,2019,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,,,
Volkswagen,Beetle 2.0T S,2019,174.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,CLK-Class CLK 350,2008,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Audi,RS 7 4.0T Prestige,2014,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,,,
Volvo,XC60 Recharge Plug-In Hybrid T8 Inscription,2022,455.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,,,
Land,Rover Range Rover Supercharged LWB,2020,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
Toyota,Sequoia Limited,2011,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,,,
Jeep,Wrangler X,2004,190.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
Audi,S5 3.0T Premium,2021,349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Land,Rover Range Rover Sport Supercharged,2011,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,Sprinter 2500,2011,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,,,
Toyota,Sequoia Platinum,2023,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,,,
Maserati,Quattroporte S GranLusso,2017,405.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Lamborghini,Aventador SVJ Base,2021,6.5L V12 48V MPFI DOHC,,,
Ford,Mustang Bullitt,2019,480.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
RAM,2500 Tradesman,2018,350.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,,,
Toyota,FJ Cruiser Base,2007,239.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,,,
Dodge,Charger Scat Pack,2019,485.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,,,
Lexus,GX 460 Base,2018,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,,,
Genesis,GV80 2.5T,2022,2.5L I4 16V PDI DOHC Turbo,,,
Jaguar,F-PACE 30t R-Sport,2019,2.0 Liter,,,
Kia,Sportage S,2021,2.4L I4 16V GDI DOHC,,,
Mercedes-Benz,S-Class S 580 4MATIC,2022,496.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,,,
Porsche,Panamera Base,2018,330.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
INFINITI,QX80 Base,2018,5.6L V8 32V GDI DOHC,,,
Ford,Maverick Lariat,2022,191.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,,,
Kia,Telluride SX,2021,3.8L V6 24V GDI DOHC,,,
Chevrolet,Colorado Z85,2005,220.0HP 3.5L 5 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,E-Class E 550,2017,402.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,,,
Land,Rover Range Rover Sport SVR,2022,5.0L V8 32V GDI DOHC Supercharged,,,
Toyota,Corolla Hybrid LE,2022,121.0HP 1.8L 4 Cylinder Engine Gas/Electric Hybrid,,,
Mercedes-Benz,E-Class E 300 4MATIC,2017,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,SLK-Class SLK 350,2012,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,E-Class E 400 4MATIC,2018,3.0L V6 24V GDI DOHC Twin Turbo,,,
Jeep,Wrangler X,2003,210.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
Lincoln,Navigator Premiere,2018,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Corvette Base,2008,430.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
GMC,Yukon XL Denali,2016,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,Metris Base,2021,2.0L I4 16V GDI DOHC Turbo,,,
Land,Rover Range Rover P530 SE LWB 7 Seat,2023,523.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,,,
Ford,Explorer XLT,2017,290.0HP 3.5L V6 Cylinder Engine Flex Fuel Capability,,,
Ferrari,488 GTB Base,2018,3.9L V8 32V GDI DOHC Twin Turbo,,,
Chevrolet,Camaro 2SS,2010,426.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
BMW,750 i xDrive,2020,523.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,,,
Land,Rover Range Rover 3.0L Supercharged HSE,2016,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Porsche,911 Carrera 4 Cabriolet,2003,315.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,,,
Maserati,MC20 Base,2022,3.0L V6 24V PDI DOHC Twin Turbo,,,
Mercedes-Benz,CLA-Class CLA 250,2015,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,Metris Base,2019,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,E-Class E 350 4MATIC,2011,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Lexus,LS 460 L,2007,380.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,,,
BMW,X6 xDrive40i,2023,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,,,
Audi,S5 3.0T Prestige,2021,3.0L,,,
Audi,Q7 Premium Plus,2022,3.0 Liter TFSI,,,
Jaguar,XE 25t,2019,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Genesis,G80 3.3T Sport,2019,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,,,
BMW,M2 Competition,2020,405.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
